Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force
Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Alabama State Hornets,Alabama St.
Albany Great Danes,Albany (NY)
Alcorn State Braves,Alcorn
American University Eagles,American
Appalachian State Mountaineers,App State
Arizona State Sun Devils,Arizona St.
Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas
Arkansas State Red Wolves,Arkansas St.
Arkansas-(Little Rock) Trojans,Little Rock
Arkansas-(Pine Bluff) Golden Lions,Ark.-Pine Bluff
Army Black Knights,Army West Point
Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay
Ball State Cardinals,Ball St.
Baylor Bears,Baylor
Bellarmine Knights,Bellarmine
Belmont Bruins,Belmont
Bethune-Cookman Wildcats,Bethune-Cookman
Binghamton Bearcats,Binghamton
Boise State Broncos,Boise St.
Boston College Eagles,Boston College
Boston University Terriers,Boston U.
Bowling Green Falcons,Bowling Green
Bradley Braves,Bradley
Brigham Young Cougars,BYU
Brown Bears,Brown
Bryant University Bulldogs,Bryant
Bucknell Bison,Bucknell
Buffalo Bulls,Buffalo
Butler Bulldogs,Butler
Cal Poly SLO Mustangs,Cal Poly
Cal State Bakersfield Roadrunners,CSU Bakersfield
Cal State Fullerton Titans,Cal St. Fullerton
Cal State Northridge Matadors,CSUN
California Baptist Lancers,California Baptist
California Golden Bears,California
Campbell Fighting Camels,Campbell
Canisius Golden Griffins,Canisius
Central Arkansas Bears,Central Ark
Central Connecticut State Blue Devils,Central Conn. St.
Central Michigan Chippewas,Central Mich.
Charleston Cougars,Col. of Charleston
Charleston Southern Buccaneers,Charleston So.
Charlotte 49ers,Charlotte
Chattanooga Mocs,Chattanooga
Chicago State Cougars,Chicago St.
Cincinnati Bearcats,Cincinnati
Citadel Bulldogs,The Citadel
Clemson Tigers,Clemson
Cleveland State Vikings,Cleveland St.
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
Colorado Buffaloes,Colorado
Colorado State Rams,Colorado St.
Columbia Lions,Columbia
Connecticut Huskies,UConn
Coppin State Eagles,Coppin St.
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
Dartmouth Big Green,Dartmouth
Davidson Wildcats,Davidson
Dayton Flyers,Dayton
Delaware Fightin Blue Hens,Delaware
Delaware State Hornets,Delaware St.
Denver Pioneers,Denver
DePaul Blue Demons,DePaul
Detroit Titans,Detroit Mercy
Dixie State University Trailblazers,Dixie St.
Drake Bulldogs,Drake
Drexel Dragons,Drexel
Duke Blue Devils,Duke
Duquesne Dukes,Duquesne
East Carolina Pirates,East Carolina
East Tennessee State Buccaneers,ETSU
Eastern Illinois Panthers,Eastern Ill.
Eastern Kentucky Colonels,Eastern Ky.
Eastern Michigan Eagles,Eastern Mich.
Eastern Washington Eagles,Eastern Wash.
Elon Phoenix,Elon
Evansville Aces,Evansville
Fairfield Stags,Fairfield
Fairleigh Dickinson Knights,Fairleigh Dickinson
Florida A&M Rattlers,Florida A&M
Florida Atlantic Owls,Fla. Atlantic
Florida Gators,Florida
Florida Gulf Coast Eagles,FGCU
Florida International Panthers,FIU
Florida State Seminoles,Florida St.
Fordham Rams,Fordham
Fresno State Bulldogs,Fresno St.
Furman Paladins,Furman
Gardner-Webb Runnin' Bulldogs,Gardner-Webb
George Mason Patriots,George Mason
George Washington Colonials,George Washington
Georgetown Hoyas,Georgetown
Georgia Bulldogs,Georgia
Georgia Southern Eagles,Ga. Southern
Georgia State Panthers,Georgia St.
Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga Bulldogs,Gonzaga
Grambling State Tigers,Grambling
Grand Canyon University Antelopes,Grand Canyon
Hampton Pirates,Hampton
Hartford Hawks,Hartford
Harvard Crimson,Harvard
Hawaii Warriors,Hawaii
High Point Panthers,High Point
Hofstra Pride,Hofstra
Holy Cross Crusaders,Holy Cross
Houston Baptist Huskies,Houston Baptist
Houston Cougars,Houston
Howard Bison,Howard
Idaho State Bengals,Idaho St.
Idaho Vandals,Idaho
Illinois Fighting Illini,Illinois
Illinois State Redbirds,Illinois St.
Illinois-Chicago Flames,UIC
Incarnate Word Cardinals,UIW
Indiana Hoosiers,Indiana
Indiana State Sycamores,Indiana St.
Iona Gaels,Iona
Iowa Hawkeyes,Iowa
Iowa State Cyclones,Iowa St.
IUPUI Jaguars,IUPUI
Jackson State Tigers,Jackson St.
Jacksonville Dolphins,Jacksonville
Jacksonville State Gamecocks,Jacksonville St.
James Madison Dukes,James Madison
Kansas Jayhawks,Kansas
Kansas State Wildcats,Kansas St.
Kennesaw State Fighting Owls,Kennesaw St.
Kent State Golden Flashes,Kent St.
Kentucky Wildcats,Kentucky
La Salle Explorers,La Salle
Lafayette Leopards,Lafayette
Lamar Cardinals,
Lehigh Mountain Hawks,Lehigh
Liberty Flames,Liberty
Lipscomb Bisons,Lipscomb
Long Beach State 49ers,Long Beach St.
Long Island Sharks,LIU
Longwood Lancers,Longwood
Louisiana Tech Bulldogs,Louisiana Tech
Louisiana-(Lafayette) Ragin Cajuns,Lafayette
Louisiana-(Monroe) Warhawks,ULM
Louisville Cardinals,Louisville
Loyola (Chicago) Ramblers,Loyola Chicago
Loyola (MD) Greyhounds,Loyola Maryland
Loyola Marymount Lions,ULM
LSU Tigers,LSU
Maine Black Bears,Maine
Manhattan Jaspers,Manhattan
Marist Red Foxes,Marist
Marquette Golden Eagles,Marquette
Marshall Thundering Herd,Marshall
Maryland Terrapins,Maryland
Maryland-Eastern Shore Hawks,UMES
Massachusetts Lowell,Massachusetts
Massachusetts Minutemen,Massachusetts
McNeese State Cowboys,McNeese
Memphis Tigers,Memphis
Mercer Bears,Mercer
Merrimack Warriors,Merrimack
Miami (FL) Hurricanes,Miami (FL)
Miami (OH) RedHawks,Miami (OH)
Michigan State Spartans,Michigan St.
Michigan Wolverines,Michigan
Middle Tennessee State Blue Raiders,Middle Tenn.
Minnesota Golden Gophers,Minnesota
Mississippi Rebels,Ole Miss
Mississippi State Bulldogs,Mississippi St.
Mississippi Valley State Delta Devils,Mississippi Val.
Missouri State Bears,Missouri St.
Missouri Tigers,Missouri
Monmouth Hawks,Monmouth
Montana Grizzlies,Montana
Montana State Bobcats,Montana St.
Morehead State Eagles,Morehead St.
Morgan State Bears,Morgan St.
Mount St. Mary's Mountaineers,Mount St. Mary's
Murray State Racers,Murray St.
N.J.I.T. Highlanders,NJIT
Navy Midshipmen,Navy
Nebraska Cornhuskers,Nebraska
Nebraska-Omaha Mavericks,Omaha
Nevada Wolf Pack,Nevada
New Hampshire Wildcats,New Hampshire
New Mexico Lobos,New Mexico
New Mexico State Aggies,New Mexico St.
New Orleans Privateers,New Orleans
Niagara Purple Eagles,Niagara
Nicholls State Colonels,Nicholls St.
Norfolk State Spartans,Norfolk St.
North Alabama Lions,North Ala.
North Carolina A&T Aggies,N.C. A&T
North Carolina Central Eagles,N.C. Central
North Carolina State Wolfpack,NC State
North Carolina Tar Heels,North Carolina
North Carolina-Asheville Bulldogs,UNC Asheville
North Carolina-Wilmington Seahawks,UNCW
North Dakota Fighting Hawks,North Dakota
North Dakota State Bison,North Dakota St.
North Florida Ospreys,North Florida
North Texas Mean Green,North Texas
Northeastern Huskies,Northeastern
Northern Arizona Lumberjacks,Northern Ariz.
Northern Colorado Bears,Northern Colo.
Northern Illinois Huskies,Northern Ill.
Northern Iowa Panthers,UNI
Northern Kentucky Norse,Northern Ky.
Northwestern State Demons,Northwestern St.
Northwestern Wildcats,Northwestern
Notre Dame Fighting Irish,Notre Dame
Oakland Golden Grizzlies,Oakland
Ohio Bobcats,Ohio
Ohio State Buckeyes,Ohio St.
Oklahoma Sooners,Oklahoma
Oklahoma State Cowboys,Oklahoma St.
Old Dominion Monarchs,Old Dominion
Oral Roberts Golden Eagles,Oral Roberts
Oregon Ducks,Oregon
Oregon State Beavers,Oregon St.
Pacific Tigers,Pacific
Penn State Nittany Lions,Penn St.
Pennsylvania Quakers,Penn
Pepperdine Waves,Pepperdine
Pittsburgh Panthers,Pittsburgh
Portland Pilots,Portland
Portland State Vikings,Portland St.
Prairie View A&M Panthers,Prairie View
Presbyterian Blue Hose,Presbyterian
Princeton Tigers,Princeton
Providence Friars,Providence
Purdue Boilermakers,Purdue
Purdue Fort Wayne Mastodons,Purdue Fort Wayne
Quinnipiac Bobcats,Quinnipiac
Radford Highlanders,Radford
Rhode Island Rams,Rhode Island
Rice Owls,Rice
Richmond Spiders,Richmond
Rider Broncs,Rider
Robert Morris Colonials,Robert Morris
Rutgers Scarlet Knights,Rutgers
Sacramento State Hornets,Sacramento St.
Sacred Heart Pioneers,Sacred Heart
Saint Francis (PA) Red Flash,Saint Francis (PA)
Saint Joseph's Hawks,Saint Joseph's
Saint Louis Billikens,Saint Louis
Saint Mary's Gaels,Saint Mary's (CA)
Saint Peter's Peacocks,Saint Peter's
Sam Houston State Bearkats,Sam Houston
Samford Bulldogs,Samford
San Diego State Aztecs,San Diego St.
San Diego Toreros,San Diego
San Francisco Dons,San Francisco
San Jose State Spartans,San Jose St.
Santa Clara Broncos,Santa Clara
Seattle Redhawks,Seattle U
Seton Hall Pirates,Seton Hall
Siena Saints,Siena
SIU Edwardsville Cougars,SIUE
South Alabama Jaguars,South Alabama
South Carolina Gamecocks,South Carolina
South Carolina State Bulldogs,South Carolina St.
South Dakota Coyotes,South Dakota
South Dakota State Jackrabbits,South Dakota St.
South Florida Bulls,South Fla.
Southeast Missouri State Redhawks,Southeast Mo. St.
Southeastern Louisiana Lions,Southeastern La.
Southern Illinois Salukis,Southern Ill.
Southern Methodist Mustangs,SMU
Southern Miss Golden Eagles,Southern Miss.
Southern University Jaguars,Southern U.
Southern Utah Thunderbirds,Southern Utah
St. Bonaventure Bonnies,St. Bonaventure
St. Francis (NY) Terriers,St. Francis Brooklyn
St. John's Red Storm,St. John's (NY)
St. Thomas (MN) Tommies,St. Thomas (MN)
Stanford Cardinal,Stanford
Stephen F. Austin Lumberjacks,SFA
Stetson Hatters,Stetson
Stony Brook Seawolves,Stony Brook
Syracuse Orange,Syracuse
Tarleton State Texans,Tarleton St.
TCU Horned Frogs,TCU
Temple Owls,Temple
Tennessee State Tigers,Tennessee St.
Tennessee Tech Golden Eagles,Tennessee Tech
Tennessee Volunteers,Tennessee
Tennessee-Martin Skyhawks,UT Martin
Texas A&M Aggies,Texas A&M
Texas A&M-(Corpus Christi) Islanders,A&M-Corpus Christi
Texas Southern Tigers,Texas Southern
Texas State Bobcats,Texas St.
Texas Tech Red Raiders,Texas Tech
Texas-(Arlington) Mavericks,UT Arlington
Texas-(Austin) Longhorns,Texas
Texas-(Rio Grande Valley) Vaqueros,UTRGV
Texas-(San Antonio) Roadrunners,UTSA
Toledo Rockets,Toledo
Towson Tigers,Towson
Troy Trojans,Troy
Tulane Green Wave,Tulane
Tulsa Golden Hurricane,Tulsa
UAB Blazers,UAB
UC Davis Aggies,UC Davis
UC Irvine Anteaters,UC Irvine
UC Riverside Highlanders,UC Riverside
UC San Diego Tritons,UC San Diego
UC Santa Barbara Gauchos,UC Santa Barbara
UCF Knights,UCF
UCLA Bruins,UCLA
UMBC Retrievers,UMBC
UMKC Kangaroos,Kansas City
UNC Greensboro Spartans,UNC Greensboro
UNLV Rebels,UNLV
USC Trojans,Southern California
USC Upstate Spartans,USC Upstate
Utah State Aggies,Utah St.
Utah Utes,Utah
Utah Valley Wolverines,Utah Valley
UTEP Miners,UTEP
Valparaiso University,Valparaiso
Vanderbilt Commodores,Vanderbilt
Vermont Catamounts,Vermont
Villanova Wildcats,Villanova
Virginia Cavaliers,Virginia
Virginia Commonwealth Rams,VCU
Virginia Military Keydets,VMI
Virginia Tech Hokies,Virginia Tech
Wagner Seahawks,Wagner
Wake Forest Demon Deacons,Wake Forest
Washington Huskies,Washington
Washington State Cougars,Washington St.
Weber State Wildcats,Weber St.
West Virginia Mountaineers,West Virginia
Western Carolina Catamounts,Western Caro.
Western Illinois Leathernecks,Western Ill.
Western Kentucky Hilltoppers,Western Ky.
Western Michigan Broncos,Western Mich.
Wichita State Shockers,Wichita St.
William & Mary Tribe,William & Mary
Winthrop Eagles,Winthrop
Wisconsin Badgers,Wisconsin
Wisconsin-(Green Bay) Phoenix,Green Bay
Wisconsin-(Milwaukee) Panthers,Milwaukee
Wofford Terriers,Wofford
Wright State Raiders,Wright St.
Wyoming Cowboys,Wyoming
Xavier Musketeers,Xavier
Yale Bulldogs,Yale
Youngstown State Penguins,Youngstown St.